gender,party,state,chamber,nonvoting,session_id
M,D,NJ,H,voting,111
M,D,IL,S,voting,111
M,D,MA,H,voting,111
M,D,TN,H,voting,111
M,D,WI,H,voting,111
M,D,MI,H,voting,111
M,D,MA,H,voting,111
M,D,PA,S,voting,111
M,D,WV,S,voting,111
M,D,WV,H,voting,111
M,D,NY,H,voting,111
M,D,ND,S,voting,111
M,D,DE,S,voting,111
M,D,NY,H,voting,111
F,D,LA,S,voting,111
F,D,PA,H,voting,111
M,D,CO,H,voting,111
M,D,ND,S,voting,111
M,D,MD,S,voting,111
M,D,VT,S,voting,111
M,D,AK,S,voting,111
M,D,NC,H,voting,111
M,D,WA,H,voting,111
M,D,KY,H,voting,111
M,D,ND,S,voting,111
M,D,MA,H,voting,111
F,D,NV,H,voting,111
F,D,CA,S,voting,111
M,D,NV,S,voting,111
M,D,WV,H,voting,111
M,D,MD,S,voting,111
M,D,IA,S,voting,111
M,D,IL,S,voting,111
M,D,MT,S,voting,111
M,D,MD,H,voting,111
M,D,HI,S,voting,111
F,D,CA,S,voting,111
M,D,MI,S,voting,111
F,D,ME,H,voting,111
M,D,MI,H,voting,111
M,D,TX,H,voting,111
F,D,AR,S,voting,111
F,D,VI,H,nonvoting,111
M,D,NV,S,voting,111
F,D,DC,H,nonvoting,111
M,D,MN,S,voting,111
F,D,NH,S,voting,111
M,D,RI,S,voting,111
M,D,CA,H,voting,111
F,D,GU,H,nonvoting,111
M,D,OR,H,voting,111
M,D,CA,H,voting,111
M,D,CT,S,voting,111
F,D,CA,H,voting,111
M,D,CA,H,voting,111
M,D,CA,H,voting,111
F,D,NY,H,voting,111
M,D,FL,S,voting,111
M,D,DE,S,voting,111
M,D,MT,S,voting,111
M,D,VA,H,voting,111
M,D,MN,S,voting,111
M,D,IA,S,voting,111
M,D,MT,S,voting,111
M,D,IL,S,voting,111
M,D,IA,S,voting,111
M,D,TX,H,voting,111
F,D,OH,H,voting,111
M,D,CT,S,voting,111
M,D,NV,S,voting,111
M,D,TX,H,voting,111
M,D,NM,S,voting,111
M,D,IA,S,voting,111
M,D,MO,H,voting,111
M,D,NV,S,voting,111
F,D,LA,S,voting,111
M,D,UT,H,voting,111
M,D,NJ,H,voting,111
M,D,TN,H,voting,111
M,D,CA,H,voting,111
M,D,OR,H,voting,111
M,D,IL,S,voting,111
M,D,RI,S,voting,111
M,D,CT,H,voting,111
M,D,NY,H,voting,111
F,D,CA,H,voting,111
M,D,PA,S,voting,111
M,D,WA,H,voting,111
F,D,ME,H,voting,111
M,D,IL,S,voting,111
M,D,CO,H,voting,111
F,D,CA,H,voting,111
M,D,MA,H,voting,111
M,D,RI,H,voting,111
M,D,MI,S,voting,111
M,D,VT,S,voting,111
M,D,FL,H,voting,111
F,D,CA,H,voting,111
M,D,CA,H,voting,111
M,D,WA,H,voting,111
M,D,NM,S,voting,111
F,D,MN,S,voting,111
M,D,RI,S,voting,111
M,D,CO,H,voting,111
M,D,NV,S,voting,111
M,D,OR,H,voting,111
M,D,WV,H,voting,111
M,D,WI,S,voting,111
M,D,RI,S,voting,111
M,D,CO,H,voting,111
M,D,IL,S,voting,111
F,D,VI,H,nonvoting,111
M,D,GA,H,voting,111
M,D,HI,H,voting,111
M,D,MN,H,voting,111
M,D,MS,H,voting,111
M,D,WI,H,voting,111
M,D,NY,H,voting,111
M,D,MO,H,voting,111
M,D,CA,H,voting,111
M,D,ND,S,voting,111
M,D,CO,S,voting,111
M,D,IL,S,voting,111
M,D,NJ,H,voting,111
M,D,IL,S,voting,111
F,D,LA,S,voting,111
M,D,PA,S,voting,111
M,D,TX,H,voting,111
M,D,MA,S,voting,111
M,D,SC,H,voting,111
M,D,DE,S,voting,111
M,D,OR,S,voting,111
M,D,IL,S,voting,111
M,D,MD,S,voting,111
M,D,WI,H,voting,111
F,D,CA,H,voting,111
M,D,CA,H,voting,111
M,D,CO,H,voting,111
F,D,LA,S,voting,111
M,D,NY,H,voting,111
F,D,CA,H,voting,111
F,D,CA,S,voting,111
F,D,TX,H,voting,111
F,D,CA,H,voting,111
M,D,OR,S,voting,111
M,D,VA,H,voting,111
M,D,MD,H,voting,111
F,D,WA,S,voting,111
M,D,CT,H,voting,111
M,D,NY,H,voting,111
M,D,CA,H,voting,111
M,D,WI,S,voting,111
M,D,DE,S,voting,111
M,D,NV,S,voting,111
F,D,CA,H,voting,111
M,D,MN,H,voting,111
M,D,NJ,H,voting,111
M,D,MO,H,voting,111
M,D,MN,H,voting,111
M,D,IL,H,voting,111
M,D,MT,S,voting,111
M,D,AZ,H,voting,111
F,D,GU,H,nonvoting,111
F,D,IL,H,voting,111
M,D,DE,S,voting,111
M,D,NV,S,voting,111
M,D,FL,H,voting,111
M,D,MS,H,voting,111
M,D,CO,H,voting,111
M,D,FL,H,voting,111
M,D,NY,H,voting,111
M,D,NY,H,voting,111
M,D,NV,S,voting,111
F,D,MD,S,voting,111
M,D,CA,H,voting,111
F,D,GU,H,nonvoting,111
M,D,MA,H,voting,111
M,D,ND,S,voting,111
F,D,MN,S,voting,111
F,D,LA,S,voting,111
M,D,ND,S,voting,111
M,D,OH,H,voting,111
F,D,CA,H,voting,111
M,D,IL,H,voting,111
F,D,MI,H,voting,111
M,D,VT,S,voting,111
M,D,RI,H,voting,111
F,D,CT,H,voting,111
M,D,MD,H,voting,111
F,D,VI,H,nonvoting,111
M,D,NV,S,voting,111
F,D,CA,H,voting,111
M,D,NV,S,voting,111
F,D,NH,S,voting,111
M,D,CT,S,voting,111
M,D,PA,S,voting,111
M,D,WV,S,voting,111
M,D,NV,S,voting,111
M,D,NV,S,voting,111
F,D,GU,H,nonvoting,111
M,D,NJ,H,voting,111
F,D,OH,H,voting,111
M,D,MI,H,voting,111
M,D,NY,H,voting,111
M,D,NJ,S,voting,111
M,D,MI,S,voting,111
M,D,CT,S,voting,111
M,D,ND,S,voting,111
F,D,ME,H,voting,111
M,D,MA,H,voting,111
M,D,MT,S,voting,111
M,D,TX,H,voting,111
F,D,ME,H,voting,111
F,D,WI,H,voting,111
M,D,MA,H,voting,111
M,D,IA,S,voting,111
M,D,NV,S,voting,111
M,D,OH,S,voting,111
M,D,IL,S,voting,111
M,D,MI,H,voting,111
M,D,MA,S,voting,111
M,D,NV,S,voting,111
M,D,NJ,H,voting,111
M,D,MT,S,voting,111
M,D,CT,S,voting,111
M,D,CO,S,voting,111
M,D,NY,S,voting,111
M,D,WA,H,voting,111
F,D,CA,H,voting,111
M,D,RI,S,voting,111
M,D,CO,S,voting,111
F,D,WA,S,voting,111
M,D,CA,H,voting,111
M,D,NV,S,voting,111
F,D,IL,H,voting,111
F,D,CA,H,voting,111
M,D,IA,S,voting,111
M,D,MP,H,nonvoting,111
M,D,OH,H,voting,111
F,D,AR,S,voting,111
F,D,CO,H,voting,111
M,D,OH,H,voting,111
M,D,MI,H,voting,111
F,D,CA,H,voting,111
M,D,IA,S,voting,111
M,D,GA,H,voting,111
M,D,VT,S,voting,111
M,D,NV,S,voting,111
M,D,WI,H,voting,111
M,D,VA,H,voting,111
M,D,CA,H,voting,111
M,D,ND,S,voting,111
F,D,ME,H,voting,111
M,D,HI,S,voting,111
F,D,IL,H,voting,111
M,D,ND,H,voting,111
F,D,CA,S,voting,111
M,D,MD,S,voting,111
M,D,WV,S,voting,111
F,D,MD,H,voting,111
M,D,RI,S,voting,111
M,D,IN,H,voting,111
F,D,CA,H,voting,111
M,D,TN,H,voting,111
M,D,GA,H,voting,111
M,D,SD,S,voting,111
M,D,MA,H,voting,111
M,D,MI,S,voting,111
M,D,MA,H,voting,111
F,D,PA,H,voting,111
M,D,NJ,H,voting,111
M,D,RI,S,voting,111
M,D,TN,H,voting,111
F,D,MD,H,voting,111
F,D,CO,H,voting,111
M,D,AS,H,nonvoting,111
M,D,MO,H,voting,111
M,D,TX,H,voting,111
M,D,MI,H,voting,111
M,D,NJ,H,voting,111
M,D,FL,S,voting,111
M,D,WA,H,voting,111
M,D,MI,H,voting,111
M,D,NY,H,voting,111
M,D,HI,S,voting,111
M,D,WV,S,voting,111
M,D,ND,S,voting,111
M,D,NV,S,voting,111
M,D,NV,S,voting,111
M,D,IA,H,voting,111
M,D,NY,H,voting,111
M,D,SD,S,voting,111
M,D,IL,H,voting,111
M,D,CA,H,voting,111
M,D,VA,H,voting,111
M,D,TX,H,voting,111
M,D,WI,H,voting,111
M,D,SD,S,voting,111
M,D,FL,H,voting,111
M,D,MP,H,nonvoting,111
M,D,MN,H,voting,111
M,D,NM,S,voting,111
M,D,MA,H,voting,111
M,D,MA,H,voting,111
F,D,CA,H,voting,111
F,D,WI,H,voting,111
M,D,VA,H,voting,111
M,D,ND,S,voting,111
M,D,HI,S,voting,111
M,D,OR,H,voting,111
M,D,OR,H,voting,111
M,D,CO,H,voting,111
M,D,FL,H,voting,111
M,D,RI,S,voting,111
M,D,CA,H,voting,111
M,D,CT,S,voting,111
F,D,LA,S,voting,111
F,D,OH,H,voting,111
M,D,DE,S,voting,111
M,D,MI,H,voting,111
M,D,NV,S,voting,111
M,D,IL,H,voting,111
M,D,MA,S,voting,111
M,D,MD,H,voting,111
F,D,GU,H,nonvoting,111
F,D,ME,H,voting,111
M,D,IL,S,voting,111
F,D,MN,S,voting,111
M,D,NY,H,voting,111
M,D,ND,S,voting,111
M,D,MI,H,voting,111
M,D,OH,S,voting,111
M,D,HI,S,voting,111
M,D,RI,S,voting,111
M,D,IA,S,voting,111
F,D,WA,S,voting,111
M,D,CT,S,voting,111
F,D,VI,H,nonvoting,111
M,D,PA,S,voting,111
M,D,NJ,H,voting,111
M,D,MP,H,nonvoting,111
M,D,IN,H,voting,111
M,D,SC,H,voting,111
F,D,MD,H,voting,111
M,D,MS,H,voting,111
M,D,MI,S,voting,111
M,D,NY,H,voting,111
M,D,NY,H,voting,111
M,D,WA,H,voting,111
M,D,CA,H,voting,111
M,D,NV,S,voting,111
M,D,MA,H,voting,111
M,D,WV,H,voting,111
M,D,NJ,H,voting,111
F,D,LA,S,voting,111
F,D,OH,H,voting,111
M,D,IA,H,voting,111
M,D,NM,S,voting,111
M,D,PA,S,voting,111
M,D,PA,H,voting,111
M,D,PA,H,voting,111
M,D,NC,H,voting,111
M,D,MT,S,voting,111
F,D,CA,H,voting,111
M,D,MN,H,voting,111
M,D,HI,S,voting,111
M,D,ND,S,voting,111
F,D,LA,S,voting,111
F,D,MO,S,voting,111
M,D,CT,S,voting,111
M,D,MN,H,voting,111
M,D,IL,S,voting,111
M,D,NV,S,voting,111
M,D,OR,H,voting,111
M,D,FL,H,voting,111
M,D,MI,H,voting,111
F,D,MO,S,voting,111
M,D,WI,H,voting,111
M,D,IL,S,voting,111
M,D,ND,S,voting,111
M,D,RI,S,voting,111
F,D,CA,H,voting,111
M,D,AS,H,nonvoting,111
M,D,CA,H,voting,111
M,D,OR,S,voting,111
M,D,CA,H,voting,111
M,D,CT,H,voting,111
M,D,IA,S,voting,111
M,D,NJ,H,voting,111
F,D,NY,H,voting,111
F,D,CA,H,voting,111
F,D,FL,H,voting,111
M,D,SC,H,voting,111
M,D,TN,H,voting,111
M,D,IL,S,voting,111
M,D,TN,H,voting,111
M,D,FL,H,voting,111
M,D,WI,S,voting,111
M,D,CO,H,voting,111
F,D,CA,H,voting,111
F,D,CA,H,voting,111
M,D,MN,H,voting,111
M,D,CO,H,voting,111
M,D,MA,H,voting,111
F,D,TX,H,voting,111
M,D,RI,H,voting,111
M,D,OR,H,voting,111
M,D,IL,S,voting,111
M,D,VT,S,voting,111
F,D,CA,H,voting,111
M,D,CT,H,voting,111
M,D,VA,H,voting,111
F,D,DC,H,nonvoting,111
M,D,FL,H,voting,111
M,D,VA,H,voting,111
M,D,WI,H,voting,111
M,D,NV,S,voting,111
F,D,NY,H,voting,111
M,D,TN,H,voting,111
M,D,ND,S,voting,111
M,D,WA,H,voting,111
M,D,MI,H,voting,111
M,D,HI,S,voting,111
M,D,DE,S,voting,111
M,D,WI,S,voting,111
F,D,MI,H,voting,111
F,D,AR,S,voting,111
M,D,CO,H,voting,111
M,D,NY,H,voting,111
M,D,OR,H,voting,111
M,D,RI,S,voting,111
M,D,MT,S,voting,111
M,D,CO,H,voting,111
F,D,CT,H,voting,111
M,D,AZ,H,voting,111
M,D,MA,H,voting,111
M,D,NJ,S,voting,111
M,D,MD,S,voting,111
M,D,OR,H,voting,111
M,D,IA,S,voting,111
M,D,MA,H,voting,111
M,D,OR,H,voting,111
M,D,NJ,H,voting,111
M,D,GA,H,voting,111
M,D,NY,H,voting,111
M,D,NY,H,voting,111
M,D,VA,S,voting,111
M,D,TX,H,voting,111
F,D,LA,S,voting,111
M,D,MA,H,voting,111
M,D,CA,H,voting,111
M,D,IL,S,voting,111
M,D,NV,S,voting,111
F,D,NV,H,voting,111
F,D,NV,H,voting,111
M,D,MA,H,voting,111
M,D,NJ,H,voting,111
M,D,RI,S,voting,111
M,D,CA,H,voting,111
M,D,PA,S,voting,111
M,D,NV,S,voting,111
M,D,IL,S,voting,111
M,D,PR,H,nonvoting,111
M,D,IA,S,voting,111
M,D,GA,H,voting,111
M,D,MD,H,voting,111
M,D,CO,H,voting,111
M,D,NM,S,voting,111
M,D,IL,S,voting,111
M,D,NJ,H,voting,111
F,D,AR,S,voting,111
F,D,OH,H,voting,111
M,D,PA,S,voting,111
M,D,OR,H,voting,111
M,D,MO,H,voting,111
M,D,NV,S,voting,111
M,D,IA,S,voting,111
M,D,IN,H,voting,111
F,D,VI,H,nonvoting,111
M,D,NY,H,voting,111
M,D,IL,S,voting,111
F,D,LA,S,voting,111
M,D,OR,S,voting,111
M,D,NY,S,voting,111
M,D,SC,H,voting,111
M,D,NV,S,voting,111
M,D,MN,H,voting,111
M,D,CT,H,voting,111
M,D,OK,H,voting,111
F,D,CA,H,voting,111
F,D,TX,H,voting,111
M,D,KY,H,voting,111
M,D,OH,H,voting,111
M,D,MO,H,voting,111
M,D,NV,S,voting,111
M,D,MT,S,voting,111
F,D,FL,H,voting,111
F,D,CA,H,voting,111
M,D,TN,H,voting,111
M,D,NV,S,voting,111
M,D,MA,S,voting,111
F,D,CA,S,voting,111
M,D,OR,S,voting,111
M,D,DE,S,voting,111
M,D,NJ,H,voting,111
F,D,CA,H,voting,111
M,D,PA,S,voting,111
M,D,MA,H,voting,111
M,D,PA,S,voting,111
M,D,IL,S,voting,111
M,D,MD,H,voting,111
M,D,MT,S,voting,111
M,D,NV,S,voting,111
M,D,NV,S,voting,111
M,D,NJ,S,voting,111
M,D,MT,S,voting,111
M,D,WI,S,voting,111
F,D,CA,H,voting,111
F,D,HI,H,voting,111
M,D,MI,H,voting,111
M,D,FL,H,voting,111
M,D,WV,H,voting,111
M,D,NV,S,voting,111
M,D,NJ,S,voting,111
M,D,WV,S,voting,111
M,D,MI,S,voting,111
M,D,PA,H,voting,111
F,D,NY,H,voting,111
M,D,OH,S,voting,111
M,D,NJ,S,voting,111
F,D,NY,H,voting,111
F,D,MI,H,voting,111
M,D,NJ,H,voting,111
M,D,NC,H,voting,111
M,D,CO,H,voting,111
M,D,PA,H,voting,111
M,D,MT,S,voting,111
M,D,CO,H,voting,111
F,D,NC,S,voting,111
M,D,RI,S,voting,111
F,D,CO,H,voting,111
M,D,DE,S,voting,111
M,D,MD,H,voting,111
M,D,MI,H,voting,111
M,D,NY,H,voting,111
M,D,NE,S,voting,111
M,D,NY,H,voting,111
M,D,HI,S,voting,111
M,D,IL,S,voting,111
M,D,CO,H,voting,111
M,D,MN,H,voting,111
M,D,FL,S,voting,111
M,D,CA,H,voting,111
M,D,MI,H,voting,111
M,D,FL,H,voting,111
M,D,NV,S,voting,111
F,D,TX,H,voting,111
F,D,WA,S,voting,111
M,D,MD,H,voting,111
M,D,MA,H,voting,111
M,D,MA,H,voting,111
M,D,ND,S,voting,111
M,D,MA,H,voting,111
M,D,MN,H,voting,111
M,D,MI,H,voting,111
M,D,MN,H,voting,111
M,D,ND,S,voting,111
F,D,CA,H,voting,111
F,D,CA,H,voting,111
M,D,CT,S,voting,111
M,D,MA,H,voting,111
M,D,VA,S,voting,111
M,D,NV,S,voting,111
M,D,OR,H,voting,111
M,D,IA,S,voting,111
F,D,PA,H,voting,111
M,D,NY,H,voting,111
M,D,PA,H,voting,111
M,D,IL,H,voting,111
M,D,IL,S,voting,111
M,D,CT,H,voting,111
F,D,MO,S,voting,111
F,D,WA,S,voting,111
M,D,NJ,H,voting,111
M,D,MT,S,voting,111
M,D,CA,H,voting,111
M,D,CT,S,voting,111
M,D,VA,H,voting,111
F,D,WA,S,voting,111
M,D,MA,H,voting,111
M,D,MA,H,voting,111
F,D,NH,S,voting,111
F,D,AZ,H,voting,111
M,D,ND,S,voting,111
M,D,MT,S,voting,111
M,D,MN,H,voting,111
F,D,CA,H,voting,111
M,D,ND,S,voting,111
M,D,MD,H,voting,111
M,D,MA,S,voting,111
M,D,PA,H,voting,111
M,D,IL,H,voting,111
M,D,WA,H,voting,111
M,D,MI,H,voting,111
F,D,CA,S,voting,111
F,D,OH,H,voting,111
M,D,CA,H,voting,111
F,D,LA,S,voting,111
M,D,CA,H,voting,111
M,D,CO,H,voting,111
F,D,NH,S,voting,111
M,D,CA,H,voting,111
M,D,OR,H,voting,111
M,D,SC,H,voting,111
M,D,FL,H,voting,111
M,D,WA,H,voting,111
M,D,NV,S,voting,111
M,D,NV,S,voting,111
M,D,FL,H,voting,111
M,D,VT,S,voting,111
M,D,PA,S,voting,111
M,D,CA,H,voting,111
M,D,WI,S,voting,111
M,D,KY,H,voting,111
F,D,FL,H,voting,111
M,D,OH,H,voting,111
M,D,MI,H,voting,111
M,D,CA,H,voting,111
M,D,IL,H,voting,111
M,D,CO,H,voting,111
M,D,OH,H,voting,111
M,D,MA,H,voting,111
M,D,MA,S,voting,111
M,D,CA,H,voting,111
M,D,NV,S,voting,111
M,D,NV,S,voting,111
F,D,CA,H,voting,111
M,D,NY,H,voting,111
M,D,IA,S,voting,111
M,D,RI,H,voting,111
M,D,MA,H,voting,111
M,D,IL,S,voting,111
M,D,ND,S,voting,111
M,D,TN,H,voting,111
M,D,MA,H,voting,111
M,D,NV,S,voting,111
M,D,VT,S,voting,111
F,D,CT,H,voting,111
M,D,MN,H,voting,111
M,D,MA,H,voting,111
F,D,CA,H,voting,111
M,D,NC,H,voting,111
M,D,IL,S,voting,111
F,D,CA,S,voting,111
M,D,IA,H,voting,111
F,D,NH,S,voting,111
M,D,TN,H,voting,111
F,D,MD,H,voting,111
M,D,IA,H,voting,111
M,D,MI,S,voting,111
M,D,DE,S,voting,111
M,D,AK,S,voting,111
M,D,NV,S,voting,111
M,D,ND,S,voting,111
M,D,TX,H,voting,111
M,D,VT,H,voting,111
M,D,MD,H,voting,111
F,D,DC,H,nonvoting,111
M,D,MT,S,voting,111
M,D,CO,H,voting,111
M,D,AS,H,nonvoting,111
M,D,MA,H,voting,111
M,D,WV,S,voting,111
F,D,DC,H,nonvoting,111
M,D,PA,S,voting,111
M,D,CO,S,voting,111
M,D,GA,H,voting,111
M,D,MA,H,voting,111
M,D,NV,S,voting,111
M,D,CA,H,voting,111
M,D,IL,S,voting,111
M,D,ND,S,voting,111
M,D,TX,H,voting,111
M,D,NY,H,voting,111
M,D,WV,H,voting,111
M,D,FL,H,voting,111
F,D,IL,H,voting,111
M,D,IL,S,voting,111
M,D,VT,S,voting,111
F,D,CA,H,voting,111
M,D,VA,S,voting,111
F,D,CA,S,voting,111
M,D,MI,S,voting,111
F,D,NY,H,voting,111
M,D,MA,H,voting,111
M,D,MN,H,voting,111
M,D,IL,H,voting,111
M,D,IL,S,voting,111
F,D,CA,H,voting,111
M,D,MT,S,voting,111
F,D,NY,H,voting,111
F,D,NY,H,voting,111
M,D,NY,H,voting,111
M,D,CA,H,voting,111
M,D,CO,H,voting,111
M,D,NV,S,voting,111
M,D,MA,H,voting,111
F,D,NY,H,voting,111
M,D,CT,S,voting,111
M,D,NV,S,voting,111
M,D,MN,H,voting,111
M,D,VT,S,voting,111
M,D,MI,H,voting,111
F,D,GU,H,nonvoting,111
M,D,ND,S,voting,111
M,D,CO,H,voting,111
M,D,CA,H,voting,111
F,D,OH,H,voting,111
M,D,IL,S,voting,111
M,D,MA,H,voting,111
M,D,MO,H,voting,111
F,D,CA,S,voting,111
F,D,CA,S,voting,111
M,D,CT,H,voting,111
M,D,PA,S,voting,111
M,D,CA,H,voting,111
F,D,OH,H,voting,111
M,D,CT,S,voting,111
M,D,NV,S,voting,111
M,D,CO,H,voting,111
F,D,CA,S,voting,111
M,D,WI,H,voting,111
M,D,NY,S,voting,111
M,D,CT,S,voting,111
M,D,MT,S,voting,111
M,D,NM,S,voting,111
F,D,MD,S,voting,111
F,D,HI,H,voting,111
M,D,NY,H,voting,111
F,D,CA,H,voting,111
F,D,HI,H,voting,111
M,D,FL,H,voting,111
M,D,MT,S,voting,111
M,D,IL,S,voting,111
M,D,MA,H,voting,111
F,D,NH,H,voting,111
M,D,MP,H,nonvoting,111
M,D,ND,S,voting,111
F,D,NV,H,voting,111
M,D,PA,S,voting,111
M,D,HI,S,voting,111
M,D,MD,H,voting,111
F,D,CA,H,voting,111
F,D,NY,H,voting,111
M,D,VT,H,voting,111
M,D,MN,H,voting,111
M,D,ND,S,voting,111
F,D,AZ,H,voting,111
F,D,LA,S,voting,111
M,D,NV,S,voting,111
M,D,CA,H,voting,111
M,D,IL,S,voting,111
F,D,ME,H,voting,111
F,D,FL,H,voting,111
F,D,TX,H,voting,111
M,D,MT,S,voting,111
M,D,WV,H,voting,111
M,D,SD,S,voting,111
M,D,TX,H,voting,111
M,D,VA,H,voting,111
F,D,CA,H,voting,111
M,D,IL,S,voting,111
F,D,TX,H,voting,111
M,D,NC,H,voting,111
M,D,MO,H,voting,111
F,D,CA,H,voting,111
M,D,NY,H,voting,111
M,D,AZ,H,voting,111
M,D,NC,H,voting,111
M,D,MT,S,voting,111
F,D,CA,S,voting,111
M,D,IL,S,voting,111
M,D,NV,S,voting,111
M,D,TX,H,voting,111
M,D,CA,H,voting,111
F,D,CA,H,voting,111
F,D,CA,H,voting,111
M,D,MD,H,voting,111
M,D,NJ,H,voting,111
M,D,OH,H,voting,111
M,D,NY,S,voting,111
F,D,WA,S,voting,111
M,D,CO,S,voting,111
M,D,NY,H,voting,111
M,D,CO,S,voting,111
M,D,OR,H,voting,111
M,D,NY,H,voting,111
M,D,NM,S,voting,111
M,D,PA,S,voting,111
F,D,WA,S,voting,111
M,D,IN,S,voting,111
F,D,IL,H,voting,111
M,D,NY,S,voting,111
M,D,MO,H,voting,111
M,D,IL,S,voting,111
M,D,IL,S,voting,111
M,D,NY,H,voting,111
M,D,NV,S,voting,111
M,D,IL,H,voting,111
F,D,CO,H,voting,111
M,D,WI,H,voting,111
M,D,SD,S,voting,111
M,D,WV,H,voting,111
M,D,CA,H,voting,111
M,D,VA,H,voting,111
M,D,MA,H,voting,111
F,D,TX,H,voting,111
M,D,NJ,H,voting,111
F,D,FL,H,voting,111
F,D,LA,S,voting,111
M,D,NY,S,voting,111
M,D,IL,S,voting,111
M,D,MI,H,voting,111
M,D,MT,S,voting,111
F,D,NY,H,voting,111
M,D,MT,S,voting,111
M,D,MT,S,voting,111
M,D,VT,S,voting,111
F,D,CA,S,voting,111
M,D,MD,H,voting,111
M,D,IL,H,voting,111
M,D,PA,S,voting,111
M,D,CO,S,voting,111
M,D,CA,H,voting,111
M,D,NJ,H,voting,111
M,D,OR,H,voting,111
M,D,CA,H,voting,111
M,D,VA,H,voting,111
M,D,VA,H,voting,111
M,D,CO,H,voting,111
F,D,NY,H,voting,111
M,D,VT,S,voting,111
F,D,CA,H,voting,111
M,D,MO,H,voting,111
M,D,TN,H,voting,111
M,D,RI,S,voting,111
M,D,OH,S,voting,111
M,D,CA,H,voting,111
M,D,NY,H,voting,111
M,D,PA,S,voting,111
M,D,MO,H,voting,111
M,D,TN,H,voting,111
M,D,WA,H,voting,111
F,D,CA,H,voting,111
M,D,MT,S,voting,111
M,D,MT,S,voting,111
F,D,ME,H,voting,111
F,D,CA,S,voting,111
F,D,CA,H,voting,111
M,D,PA,H,voting,111
M,D,SC,H,voting,111
M,D,ND,S,voting,111
M,D,IA,S,voting,111
M,D,NY,H,voting,111
F,D,OH,H,voting,111
M,D,MN,H,voting,111
M,D,RI,H,voting,111
M,D,MI,H,voting,111
M,D,NC,H,voting,111
M,D,AZ,H,voting,111
M,D,NJ,S,voting,111
M,D,ND,S,voting,111
F,D,FL,H,voting,111
M,D,MI,H,voting,111
M,D,CA,H,voting,111
M,D,MN,H,voting,111
M,D,NV,S,voting,111
M,D,MI,H,voting,111
M,D,CA,H,voting,111
F,D,CA,H,voting,111
M,D,IL,S,voting,111
F,D,CA,H,voting,111
M,D,OH,S,voting,111
M,D,NV,S,voting,111
M,D,IL,H,voting,111
M,D,OR,S,voting,111
F,D,CA,S,voting,111
M,D,NY,H,voting,111
M,D,NY,H,voting,111
M,D,MN,H,voting,111
M,D,VA,H,voting,111
M,D,VA,H,voting,111
M,D,CA,H,voting,111
M,D,NC,H,voting,111
M,D,MN,H,voting,111
M,D,MO,H,voting,111
M,D,NY,H,voting,111
M,D,IL,S,voting,111
F,D,MN,S,voting,111
M,D,MA,H,voting,111
M,D,CO,S,voting,111
F,D,FL,H,voting,111
F,D,OH,H,voting,111
F,D,WA,S,voting,111
M,D,MA,H,voting,111
M,D,OR,S,voting,111
M,D,MI,H,voting,111
F,D,HI,H,voting,111
M,D,MN,H,voting,111
M,D,TX,H,voting,111
M,D,CA,H,voting,111
M,D,MA,S,voting,111
M,D,OR,S,voting,111
M,D,WA,H,voting,111
F,D,CA,H,voting,111
M,D,MD,H,voting,111
M,D,CT,S,voting,111
M,D,FL,H,voting,111
M,D,MD,H,voting,111
M,D,MN,H,voting,111
M,D,MD,S,voting,111
F,D,NY,H,voting,111
M,D,PA,S,voting,111
F,D,NH,H,voting,111
M,D,IL,S,voting,111
M,D,MI,S,voting,111
M,D,NV,S,voting,111
F,D,CA,H,voting,111
M,D,VA,S,voting,111
M,D,CA,H,voting,111
M,D,TN,H,voting,111
M,D,CT,H,voting,111
M,D,MD,S,voting,111
M,D,MA,H,voting,111
M,D,NY,H,voting,111
M,D,RI,H,voting,111
M,D,NM,S,voting,111
M,D,IA,H,voting,111
M,D,NM,H,voting,111
M,D,IL,S,voting,111
F,D,AR,S,voting,111
M,D,IL,S,voting,111
F,D,CA,S,voting,111
F,D,NH,H,voting,111
F,D,MI,H,voting,111
M,D,CT,S,voting,111
F,D,VI,H,nonvoting,111
M,D,MA,H,voting,111
M,D,IL,H,voting,111
M,D,CA,H,voting,111
M,D,VA,H,voting,111
M,D,VT,S,voting,111
M,D,ND,S,voting,111
M,D,MI,H,voting,111
M,D,PA,S,voting,111
M,D,CA,H,voting,111
M,D,ND,S,voting,111
M,D,DE,S,voting,111
F,D,CA,H,voting,111
F,D,CA,S,voting,111
M,D,MD,H,voting,111
M,D,NV,S,voting,111
M,D,VA,H,voting,111
F,D,CA,S,voting,111
M,D,IL,S,voting,111
M,D,RI,S,voting,111
M,D,RI,S,voting,111
F,D,GU,H,nonvoting,111
M,D,MI,S,voting,111
F,D,LA,S,voting,111
M,D,VT,S,voting,111
M,D,SC,H,voting,111
M,D,NY,H,voting,111
F,D,ME,H,voting,111
M,D,FL,H,voting,111
F,D,CA,H,voting,111
M,D,CT,S,voting,111
M,D,CA,H,voting,111
M,D,MA,H,voting,111
M,D,MT,S,voting,111
M,D,MA,H,voting,111
M,D,RI,S,voting,111
M,D,CO,H,voting,111
F,D,NY,H,voting,111
M,D,MA,S,voting,111
F,D,CA,H,voting,111
M,D,MD,H,voting,111
M,D,CT,S,voting,111
M,D,NY,H,voting,111
M,D,WA,H,voting,111
